73	74	74	81	81	80	67	74	73	74	74	66	79
73	73	68	82	86	71	73	87	73	76	71	73	72
76	81	64	67	90	63	55	86	68	70	69	53	67
71	74	78	88	74	74	73	86	74	69	72	67	69
72	83	74	71	84	86	70	88	65	74	74	70	72
63	74	71	58	88	86	41	81	74	72	69	64	75
70	72	73	74	99	73	60	92	74	74	88	70	81
73	71	67	79	86	71	69	73	73	83	82	71	72
63	65	60	62	90	74	66	89	85	72	71	62	87
80	69	72	69	91	80	69	80	69	68	74	69	69
74	73	71	70	87	87	69	74	81	72	73	70	80
91	72	73	74	74	90	73	84	73	67	92	71	65
87	89	71	87	73	89	68	72	69	67	73	69	73
71	85	65	73	90	85	70	74	73	71	73	70	73
73	88	72	67	86	74	71	86	80	72	73	67	74
83	72	69	71	90	73	67	82	85	73	74	67	71
84	58	63	59	85	74	59	85	76	74	70	68	74
