73	86	70	72	90	70	72	86	74	71	87	73	70	74	72	83	81	70
89	74	61	80	72	62	49	85	74	74	87	74	73	92	74	77	80	62
90	70	74	74	88	70	74	95	74	74	93	71	93	95	71	71	73	74
74	71	80	71	73	81	74	81	73	77	74	66	78	72	74	76	76	74
79	76	73	79	80	70	71	80	78	78	80	79	76	74	73	76	78	70
73	77	71	72	67	76	62	72	78	69	80	72	74	69	72	77	75	63
71	63	84	52	77	63	61	80	73	65	78	73	80	78	68	66	63	61
84	71	70	72	74	79	70	81	73	70	85	73	72	82	73	72	82	71
84	73	72	79	71	70	70	85	74	72	79	70	80	74	71	70	83	69
73	74	77	74	74	76	63	78	78	74	80	70	76	83	74	75	74	71
73	73	78	70	72	78	70	80	70	76	73	69	76	77	67	67	76	72
84	72	70	69	73	78	73	85	74	77	72	74	78	74	72	82	70	62
86	71	74	74	85	71	68	88	74	72	81	74	74	85	73	71	85	80
71	71	86	74	73	82	60	86	74	73	74	79	85	70	70	70	84	61
74	80	71	71	74	75	72	77	73	77	73	78	77	80	74	77	74	73
83	74	70	78	71	73	74	81	74	81	73	73	74	82	72	81	72	71
77	72	72	71	73	76	71	79	73	78	72	70	75	74	72	70	78	72
