80	90	85	74	72	74	77	70	82	84
74	85	80	74	74	74	74	74	83	81
79	70	78	71	61	75	68	76	70	76
73	93	69	80	74	80	72	90	89	90
88	82	70	74	65	72	60	74	85	75
81	84	69	80	84	70	69	84	74	77
90	73	66	77	76	73	86	70	85	81
67	80	69	85	69	67	78	74	90	63
89	73	63	73	70	79	66	79	82	74
70	89	70	70	69	80	72	70	70	80
90	69	65	91	69	94	60	83	69	65
82	90	74	85	74	74	74	90	74	90
72	92	68	88	79	80	81	86	91	88
91	70	83	68	65	68	76	90	68	74
77	73	51	62	61	75	72	69	73	75
90	78	71	80	70	77	84	70	90	86
85	80	74	84	65	79	77	80	79	76
