0.026569 ,0.015303 ,0.025125 ,0.008196 ,0.106319 ,0.023255 ,0.032491 ,0.087218 ,0.102832 ,0.021377 ,0.040625 ,0.046611 ,0.005525 ,0.068509 ,0.058913 ,0.048882 ,0.036108 ,0.046788 
0.061682 ,0.034751 ,0.151199 ,0.039308 ,0.080403 ,0.025061 ,0.000546 ,0.064776 ,0.095046 ,0.106988 ,0.011471 ,0.036703 ,0.106614 ,0.091629 ,0.040178 ,0.028208 ,0.046376 ,0.011484 
0.043278 ,0.066118 ,0.004599 ,0.039308 ,0.040535 ,0.047697 ,0.015878 ,0.033338 ,0.003503 ,0.051804 ,0.007636 ,0.077630 ,0.030307 ,0.046746 ,0.049457 ,0.029336 ,0.102148 ,0.040526 
0.043278 ,0.089960 ,0.014462 ,0.033035 ,0.000543 ,0.035391 ,0.077231 ,0.006603 ,0.063607 ,0.037614 ,0.056411 ,0.040724 ,0.018244 ,0.014915 ,0.089171 ,0.018516 ,0.005976 ,0.011484 
0.062409 ,0.101985 ,0.015155 ,0.002048 ,0.113411 ,0.000802 ,0.105216 ,0.088419 ,0.022807 ,0.051804 ,0.097979 ,0.021147 ,0.042590 ,0.096382 ,0.040178 ,0.090694 ,0.034208 ,0.056978 
0.043278 ,0.034751 ,0.034363 ,0.076778 ,0.033441 ,0.047697 ,0.025236 ,0.006603 ,0.036127 ,0.045862 ,0.026822 ,0.077630 ,0.006324 ,0.115608 ,0.049457 ,0.019725 ,0.005976 ,0.070897 
0.025490 ,0.025367 ,0.014462 ,0.060850 ,0.000543 ,0.000802 ,0.000546 ,0.026504 ,0.036127 ,0.060431 ,0.017201 ,0.060978 ,0.017372 ,0.025152 ,0.013646 ,0.000636 ,0.065883 ,0.007663 
0.101549 ,0.077087 ,0.035215 ,0.054380 ,0.015757 ,0.060255 ,0.000546 ,0.064776 ,0.102832 ,0.045862 ,0.088021 ,0.021147 ,0.042590 ,0.091629 ,0.031040 ,0.019725 ,0.067534 ,0.026984 
0.009212 ,0.015303 ,0.035215 ,0.114770 ,0.025122 ,0.050138 ,0.042004 ,0.054060 ,0.043580 ,0.037614 ,0.050632 ,0.046611 ,0.053608 ,0.025152 ,0.069071 ,0.039042 ,0.005976 ,0.011484 
0.008069 ,0.087522 ,0.015155 ,0.093019 ,0.008696 ,0.104976 ,0.105990 ,0.006603 ,0.063607 ,0.108460 ,0.107355 ,0.089995 ,0.151707 ,0.015599 ,0.084185 ,0.112788 ,0.095059 ,0.126363 
0.008069 ,0.089960 ,0.087216 ,0.108012 ,0.015757 ,0.023255 ,0.024149 ,0.003303 ,0.078002 ,0.045862 ,0.017201 ,0.050744 ,0.005525 ,0.025152 ,0.031611 ,0.029336 ,0.024035 ,0.060553 
0.123263 ,0.004646 ,0.081028 ,0.054380 ,0.057553 ,0.063204 ,0.067094 ,0.067854 ,0.102832 ,0.029460 ,0.060857 ,0.089181 ,0.069046 ,0.090676 ,0.031040 ,0.038028 ,0.005976 ,0.090533 
0.009212 ,0.015303 ,0.045469 ,0.022618 ,0.008696 ,0.037456 ,0.033573 ,0.003303 ,0.043580 ,0.035059 ,0.060857 ,0.050744 ,0.005525 ,0.015599 ,0.098550 ,0.000636 ,0.024035 ,0.089315 
0.025490 ,0.066118 ,0.005260 ,0.039308 ,0.007601 ,0.050138 ,0.050556 ,0.067854 ,0.003503 ,0.005334 ,0.036538 ,0.082292 ,0.018244 ,0.025152 ,0.059427 ,0.028208 ,0.067534 ,0.056978 
0.141134 ,0.077087 ,0.077725 ,0.083557 ,0.033441 ,0.000802 ,0.085563 ,0.003303 ,0.009629 ,0.018744 ,0.093377 ,0.030873 ,0.030307 ,0.036216 ,0.089171 ,0.091950 ,0.078532 ,0.036805 
0.064239 ,0.101985 ,0.015155 ,0.043605 ,0.057553 ,0.012869 ,0.110119 ,0.140607 ,0.030008 ,0.045862 ,0.046387 ,0.046611 ,0.068160 ,0.120391 ,0.031611 ,0.068705 ,0.077010 ,0.103904 
0.061682 ,0.015303 ,0.123367 ,0.088538 ,0.015757 ,0.063204 ,0.096208 ,0.152116 ,0.009629 ,0.060403 ,0.017201 ,0.026935 ,0.066171 ,0.046000 ,0.078521 ,0.079639 ,0.100522 ,0.011484 
