70	80	71	81	60	79	70	64	62	80	74	87	73	65	88	77	85	68
75	85	92	78	96	75	74	66	82	95	77	86	81	63	86	69	86	74
74	88	74	78	77	81	72	69	69	89	79	90	70	67	87	75	71	77
74	73	75	85	72	80	83	73	74	78	84	78	71	73	72	70	82	74
68	72	72	82	56	77	62	63	71	89	66	80	69	60	86	63	78	67
74	85	77	89	68	81	77	73	72	77	81	90	72	82	87	74	82	80
73	79	75	76	72	77	74	75	72	60	80	76	74	74	80	72	75	72
66	89	70	87	74	82	74	66	62	77	87	80	69	63	85	74	88	70
71	80	70	69	69	73	79	67	66	78	73	87	77	74	74	76	82	74
72	96	72	93	71	96	91	73	74	96	96	98	90	70	95	93	98	91
72	73	82	72	74	79	71	72	75	77	80	77	73	74	78	75	79	79
65	82	63	87	79	72	66	79	62	79	72	69	66	80	85	68	82	63
71	80	69	84	71	74	78	72	66	87	72	77	73	70	66	72	79	64
73	88	73	78	73	73	80	79	69	82	82	74	71	74	75	69	88	67
62	89	66	74	68	77	64	72	70	85	69	79	70	68	72	62	89	69
77	72	72	86	79	76	59	85	67	77	83	87	67	84	78	65	74	83
75	80	85	90	74	72	85	88	70	90	80	85	78	76	90	80	72	74
