79	75	70	72	80	68	86	75	68	66	83	74	73	72
75	78	74	78	85	82	78	81	74	74	74	74	74	73
87	68	74	86	74	74	74	74	83	74	86	74	79	74
87	72	74	73	87	74	80	74	74	86	73	74	84	74
75	73	70	74	83	74	74	74	74	74	80	88	89	73
72	62	76	73	74	85	90	69	74	60	57	74	73	76
78	59	72	80	63	77	76	68	67	70	78	69	72	73
84	57	66	74	88	77	86	71	71	72	71	70	84	74
76	86	67	69	88	83	90	62	87	72	68	70	72	68
72	75	75	80	72	74	79	74	72	78	74	69	72	76
60	60	62	66	80	61	68	81	82	73	74	60	74	84
83	71	80	70	70	74	87	70	71	76	71	76	72	73
73	62	70	90	74	71	91	72	92	71	61	84	74	63
73	71	73	74	80	73	83	73	73	74	72	82	80	72
83	74	74	73	87	83	74	74	73	73	84	86	74	74
84	65	74	83	74	73	74	87	74	72	74	86	85	74
74	70	73	74	90	86	91	74	73	71	78	73	72	70
