-0.01933,-0.08375,-0.06387,-0.04706,-0.2028,0.09748,-0.11569,-0.17507,-0.06106,-0.17927,-0.19412,0.30252,0.00784,-0.1098,0.35322,0.12773,0.21176,-0.10084,,
0.0437,0.18936,0.28908,-0.22353,0.11653,-0.1042,0.00196,-0.13305,0.04818,0.82913,-0.05546,0.2395,0.1423,-0.14342,0.24398,-0.07395,0.27059,0.02521,,
0.03109,0.35322,0.01176,-0.22353,0.08291,0.19832,-0.05686,-0.07003,-0.00224,0.42577,0.03697,0.4916,-0.04258,-0.07619,0.2986,0.07731,-0.55294,0.08824,,
0.03109,-0.46611,0.03697,0.18824,-0.00112,0.1479,0.26667,0.01401,0.03978,-0.31373,0.26807,-0.26471,-0.02577,0.02465,-0.52073,-0.04874,0.03529,0.02521,,
-0.04454,-0.52073,-0.03866,0.01176,-0.2028,-0.00336,-0.35098,-0.17507,0.01457,0.42577,-0.42521,-0.13866,-0.05938,-0.14342,0.24398,-0.22521,-0.2,-0.12185,,
0.03109,0.18936,0.08739,0.42353,-0.06835,0.19832,0.0902,0.01401,0.02297,-0.38095,0.12941,0.4916,-0.00896,0.17591,0.2986,0.0521,0.03529,0.15126,,
0.01849,-0.13838,0.03697,-0.34118,-0.00112,-0.00336,0.00196,0.05602,0.02297,-0.38095,0.08319,-0.39076,0.02465,0.04146,-0.08375,0.00168,-0.37647,-0.01681,,
-0.06975,0.40784,-0.08908,0.30588,0.03249,0.24874,0.00196,-0.13305,-0.06106,-0.38095,0.40672,-0.13866,-0.05938,-0.14342,0.18936,0.0521,0.38824,-0.05882,,
-0.00672,-0.08375,-0.08908,-0.57647,-0.05154,-0.20504,0.14902,-0.11204,-0.02745,-0.31373,-0.24034,0.30252,0.07507,0.04146,-0.41148,0.10252,0.03529,0.02521,,
0.00588,0.40784,-0.03866,0.48235,-0.01793,0.24874,0.32549,0.01401,0.03978,0.82913,0.40672,0.4916,0.1423,-0.02577,0.46246,0.20336,0.44706,0.21429,,
