70	78	71	72	76	71	77	71	78	70
86	73	87	71	73	73	88	86	71	71
73	89	80	73	73	73	85	88	70	71
88	74	87	72	70	73	85	86	74	72
71	86	75	64	71	64	70	72	74	80
84	74	86	74	72	72	79	83	74	73
63	86	77	70	72	60	79	70	82	74
73	83	71	78	73	74	83	74	78	68
92	85	91	78	77	76	80	81	86	82
84	74	74	74	82	73	78	74	82	74
85	72	73	82	70	74	83	74	81	70
91	86	91	73	68	69	75	87	86	72
72	85	81	73	72	68	78	74	81	74
73	84	76	67	60	58	77	74	87	64
85	74	74	85	74	74	86	74	74	85
81	73	74	73	80	72	77	74	78	74
74	88	76	73	73	72	76	73	78	74
