70	74	74	78	77	70	74	78	79	73	74	71	78	74	79	73	73	78	72	71	78	74	73	70	73	76	72	70
73	68	72	81	63	69	66	78	87	76	68	59	82	79	73	62	67	81	63	78	68	74	62	67	64	63	77	64
77	73	67	83	72	73	74	73	79	81	74	71	81	74	80	74	73	83	67	74	78	78	70	69	71	74	70	75
61	95	46	95	66	49	53	49	95	66	95	65	95	68	68	61	74	93	64	93	62	68	71	64	92	57	62	50
71	71	71	84	70	81	74	74	71	88	87	85	84	73	73	74	72	85	70	82	86	85	72	72	74	72	72	74
72	73	68	79	67	70	79	69	78	76	69	71	67	81	65	73	79	69	71	79	68	78	73	73	73	73	74	74
69	71	70	85	74	71	79	74	86	78	85	69	76	72	83	70	79	89	78	74	76	76	78	74	77	74	80	69
85	73	63	85	73	73	72	78	71	78	72	68	72	69	75	83	71	65	68	67	76	85	69	71	67	66	83	76
67	69	73	79	73	64	66	77	91	73	82	51	86	70	73	74	71	87	58	82	55	71	70	72	76	59	74	61
74	73	73	86	73	74	74	74	85	85	86	74	74	74	85	73	74	83	74	82	74	74	82	74	73	72	74	81
73	73	70	79	74	70	80	77	74	81	74	69	74	75	79	71	80	75	74	77	73	77	70	73	72	72	78	77
56	61	44	92	65	60	63	86	74	92	91	59	73	70	84	70	74	92	74	63	87	72	92	63	74	74	73	79
66	70	60	91	65	70	65	73	87	89	87	65	83	71	74	72	72	82	67	65	88	73	74	70	71	72	90	76
64	73	69	81	72	73	77	80	73	76	74	73	74	72	76	74	74	76	74	73	75	74	74	70	76	73	74	80
69	73	72	85	73	74	83	69	81	82	80	73	80	74	74	72	81	84	73	78	76	83	73	73	76	74	74	73
65	73	61	86	75	74	74	73	78	87	74	71	74	74	85	74	74	84	70	76	73	81	73	74	74	72	74	75
73	73	68	81	74	70	72	79	81	70	80	70	68	73	82	73	82	80	70	77	73	75	75	70	81	72	74	75
