80	73	73	88	70	73	69	78	70	69	81	84	73	86	74	80	73	72	74	71	84	83	73	73	72
90	67	71	90	71	67	68	70	84	63	71	83	72	92	69	89	72	70	66	88	86	71	65	69	73
74	73	90	90	66	63	68	62	70	74	90	88	65	71	87	85	72	65	66	50	88	89	67	70	73
83	66	74	81	72	73	77	71	71	70	72	83	73	74	81	72	76	76	70	72	80	72	70	70	73
74	71	91	89	70	74	77	73	69	73	74	82	74	74	88	73	85	74	73	69	84	85	73	70	74
71	85	72	81	72	55	65	71	73	70	79	77	78	67	72	81	66	86	52	55	70	73	69	66	84
71	72	82	79	72	81	71	72	74	74	73	88	73	76	74	80	76	72	74	78	72	73	73	74	71
78	70	73	80	69	70	74	77	71	71	73	81	74	74	80	72	74	73	73	70	80	76	74	74	76
71	70	89	78	72	83	72	74	72	74	70	80	73	87	74	88	76	74	66	69	74	87	71	71	73
73	74	82	73	84	68	73	74	83	74	67	86	70	83	74	71	73	72	71	70	84	85	71	70	80
72	74	81	86	69	73	64	74	70	73	85	65	74	87	74	74	71	73	73	69	78	92	73	73	82
77	69	74	83	68	72	71	83	72	69	74	88	68	84	74	80	73	72	73	75	73	72	69	72	81
72	74	86	89	73	70	70	87	74	71	71	76	74	88	69	73	74	71	72	67	83	80	73	72	81
87	71	74	86	64	72	71	86	70	69	73	81	69	73	83	84	73	72	70	69	66	80	73	73	81
82	68	72	86	65	63	73	72	74	68	85	86	66	85	74	83	74	80	61	67	82	70	66	65	72
74	68	90	75	60	60	69	83	66	67	74	80	74	73	83	90	74	70	69	67	82	70	68	71	74
