0.576923 ,0.038462 ,-0.104396 ,0.395604 ,0.192308 ,-0.258242 ,-0.269231 ,-0.489011 
0.576923 ,-0.038462 ,-0.412088 ,0.318681 ,-0.038462 ,0.126374 ,0.269231 ,-0.258242 
-0.730769 ,-0.269231 ,0.126374 ,-0.450549 ,-0.269231 ,-0.181319 ,-0.192308 ,0.049451 
-0.730769 ,0.038462 ,0.818681 ,-0.527473 ,0.192308 ,-0.642857 ,0.346154 ,0.126374 
-0.115385 ,-0.115385 ,-0.104396 ,0.241758 ,-0.192308 ,-0.412088 ,0.038462 ,-0.258242 
-0.269231 ,0.038462 ,-0.104396 ,0.318681 ,0.192308 ,-0.181319 ,0.192308 ,-0.258242 
-0.730769 ,-0.269231 ,1.126374 ,-0.604396 ,-0.115385 ,0.587912 ,-0.192308 ,0.434066 
-0.192308 ,0.038462 ,-0.181319 ,0.318681 ,0.192308 ,0.126374 ,0.346154 ,-0.104396 
0.038462 ,-0.269231 ,-0.104396 ,-0.527473 ,0.038462 ,0.664835 ,0.038462 ,0.203297 
0.423077 ,0.653846 ,1.126374 ,0.318681 ,0.115385 ,0.126374 ,0.192308 ,0.434066 
0.192308 ,0.038462 ,-0.104396 ,0.087912 ,0.038462 ,-0.642857 ,-0.192308 ,-0.027473 
0.423077 ,-0.115385 ,-0.104396 ,0.318681 ,-0.115385 ,-0.335165 ,-0.346154 ,0.049451 
0.500000 ,0.038462 ,-0.258242 ,0.395604 ,-0.038462 ,0.126374 ,0.038462 ,-0.335165 
-0.730769 ,0.653846 ,-0.335165 ,0.395604 ,-0.269231 ,-0.181319 ,0.038462 ,0.434066 
0.115385 ,-0.038462 ,-0.258242 ,-0.604396 ,0.038462 ,0.664835 ,0.038462 ,0.434066 
0.500000 ,-0.038462 ,-0.412088 ,-0.604396 ,-0.038462 ,0.434066 ,-0.346154 ,-0.489011 
