0.010329 ,0.191372 ,0.102076 ,0.201585 ,0.403221 ,0.159277 ,0.032772 ,0.892634 ,0.697080 ,0.188332 ,0.551359 
0.010329 ,0.640936 ,0.100502 ,0.030765 ,0.060911 ,0.498119 ,0.101455 ,0.201636 ,0.886217 ,0.069222 ,0.551359 
0.062539 ,0.583932 ,0.056083 ,0.011184 ,0.065149 ,0.079342 ,0.062466 ,0.176179 ,0.282036 ,0.037622 ,0.012331 
0.062539 ,0.473455 ,0.203791 ,0.245979 ,0.125497 ,0.323430 ,0.101455 ,0.012526 ,0.440261 ,0.261426 ,0.551359 
0.094932 ,0.314523 ,0.203791 ,0.158064 ,0.002092 ,0.159277 ,0.037573 ,0.465398 ,0.793163 ,0.025060 ,0.174636 
0.062539 ,0.140731 ,0.011722 ,0.245979 ,0.002092 ,0.323430 ,0.009276 ,0.201636 ,0.976104 ,0.101267 ,0.105251 
0.246566 ,0.991405 ,0.102076 ,0.465049 ,0.198226 ,0.159277 ,0.009276 ,0.304794 ,0.976104 ,0.408445 ,0.058645 
0.094932 ,0.262878 ,0.078787 ,0.158064 ,0.033514 ,0.159277 ,0.032772 ,0.330998 ,0.037020 ,0.006261 ,0.058645 
0.152444 ,0.583932 ,0.032307 ,0.270090 ,0.267325 ,0.409047 ,0.018598 ,0.892634 ,0.886217 ,0.120800 ,0.351636 
0.062539 ,0.262878 ,0.033783 ,0.115212 ,0.092898 ,0.323430 ,0.004635 ,0.240046 ,0.037020 ,0.037622 ,0.200306 
0.041476 ,0.398432 ,0.054586 ,0.316268 ,0.065149 ,0.498119 ,0.083958 ,0.201636 ,0.196257 ,0.069222 ,0.323654 
0.062539 ,0.191372 ,0.102076 ,0.637582 ,0.033514 ,0.797379 ,0.062466 ,0.201636 ,0.615298 ,0.037622 ,0.012331 
0.152444 ,0.640936 ,0.078787 ,0.158064 ,0.403221 ,0.797379 ,0.062466 ,0.892634 ,0.697080 ,0.056540 ,0.152388 
0.152444 ,0.506153 ,0.203791 ,0.637582 ,0.158946 ,0.159277 ,0.018598 ,0.265825 ,0.886217 ,0.154029 ,0.299609 
0.246566 ,0.991405 ,0.124519 ,0.201585 ,0.267325 ,0.240419 ,0.101455 ,0.607335 ,0.276649 ,0.261426 ,0.351636 
0.062539 ,0.242362 ,0.126154 ,0.158064 ,0.060911 ,0.690888 ,0.062466 ,0.112949 ,0.440261 ,0.069222 ,0.200306 
0.094932 ,0.506153 ,0.126154 ,0.158064 ,0.002092 ,0.159277 ,0.032772 ,0.607335 ,0.363348 ,0.408445 ,0.058645 
