73	73	83	70	81	69	72	72	82	69	80	69	76	69
70	73	85	56	86	60	65	80	73	79	75	72	74	75
73	83	70	70	72	80	71	72	81	78	79	69	74	77
66	80	62	73	77	71	62	60	81	75	60	73	78	65
74	86	73	73	80	73	72	74	86	77	76	65	81	72
70	78	74	69	86	74	62	74	79	75	72	63	78	68
72	82	70	63	80	73	64	72	82	84	72	72	85	73
74	81	71	69	78	73	68	72	82	78	71	66	80	74
73	81	70	71	79	72	66	74	86	80	65	67	77	74
74	84	72	61	90	70	68	69	82	81	64	66	90	64
74	87	73	70	84	74	66	71	78	77	75	77	74	74
74	89	74	66	84	74	73	73	84	75	76	74	77	71
74	90	73	73	88	74	60	74	84	78	83	84	73	74
72	83	74	70	80	68	67	73	85	78	66	71	83	74
73	85	73	66	85	74	69	72	89	87	75	68	77	71
65	74	82	64	61	88	64	86	66	86	88	62	85	66
