74	90	71	71	90	73	88	70	73	88	63	92	74	74	74	90	82	74	79
80	86	65	63	70	85	74	74	72	86	84	72	72	83	72	74	78	73	84
83	86	73	70	70	73	84	73	73	83	83	73	71	73	73	73	70	83	70
82	74	67	66	77	86	73	74	82	71	72	88	73	86	74	74	83	83	73
78	85	66	70	71	71	83	70	71	83	86	71	72	69	72	85	71	88	73
91	90	74	73	74	80	74	74	74	91	73	88	74	72	68	86	93	89	74
76	79	57	68	70	76	72	65	65	79	62	63	75	78	60	70	74	77	70
77	80	65	56	72	67	77	57	65	77	50	70	78	65	72	78	75	78	69
74	81	73	77	74	79	73	74	74	81	74	82	72	75	74	75	73	83	74
70	87	69	68	82	76	74	67	72	78	67	82	71	74	73	80	83	85	68
71	83	70	67	77	74	81	76	72	72	72	82	73	74	72	77	80	77	72
81	70	74	68	90	86	72	68	74	92	70	88	71	73	74	88	91	74	76
96	79	68	61	63	63	84	79	67	64	61	90	62	88	62	55	64	91	79
90	90	74	70	72	90	73	73	73	86	68	88	70	72	73	90	84	73	83
75	84	73	70	74	74	76	72	74	88	74	81	70	75	73	73	88	75	72
83	81	72	71	74	84	73	70	72	82	72	73	79	72	68	80	84	87	73
71	92	66	60	75	70	77	68	81	74	65	91	68	83	73	70	86	78	72
